id_street,id_point,metre,address,number,original_n,initial_date,final_date,source,author,date,cordinate,first_day,first_month,first_year,last_day,last_month,last_year,reason
296,296-474,474.9,Rua Jaguaribe,92.0,92,09/04/2029,12/06/1935,"Livro de Emplacamento - 30-6-1908 - L5, p.42;  15-12-1911 - L5, p.55; 4-3-1923 - L5, p.94; 4-9-1929 - L15, p.193; 7-12-1935 – L20, p.210 a 212 ",Orlando,16/10/2018,,9.0,4.0,2029.0,12.0,6.0,1935.0,Initial year is greater than final year.
296,296-780,780.3,Rua Jaguaribe,148.0,148,09/04/2029,12/06/1935,"Livro de Emplacamento - 30-6-1908 - L5, p.42;  15-12-1911 - L5, p.55; 4-3-1923 - L5, p.94; 4-9-1929 - L15, p.193; 7-12-1935 – L20, p.210 a 212 ",Orlando,16/10/2018,,9.0,4.0,2029.0,12.0,6.0,1935.0,Initial year is greater than final year.
175,175-29,29.0,rua pyrineus,24.0,24,01/01/1911,31/12/1910,"Livro de emplacamento 7, p. 128",Vitoria Martins,13/10/2018,,1.0,1.0,1911.0,31.0,12.0,1910.0,Initial year is greater than final year.
259,259-127,126.1,rua jurua,35.1,35A,26/07/1938,09/01/1925,"Livro de emplacamento 5, p. 96",Vitoria Martins,16/10/2018,,26.0,7.0,1938.0,9.0,1.0,1925.0,Initial year is greater than final year.
387,387-368,368.6,rua bella cintra,132.0,132,02/04/1933,20/03/1911,"Livro de emplacamento 2, p. 51; 2, p. 25",Vitoria Martins,18/10/2018,,2.0,4.0,1933.0,20.0,3.0,1911.0,Initial year is greater than final year.
411,411-966,965.0,avenida brigadeiro luis antonio,188.0,188,05/05/1934,16/10/1929,"Livro de emplacamento 16, p. 19; 2, p. 54",Vitoria Martins,18/10/2018,,5.0,5.0,1934.0,16.0,10.0,1929.0,Initial year is greater than final year.
45,45-1327,1326.8,avenida sao joao,453.0,453,10/01/1911, ,"Livro de emplacamento 19, p. 43; 8, p. 164",Vitoria Martins,28/01/2019,,10.0,1.0,1911.0,,,,Invalid final_date.
690,690-24,25.4,Rua Barra do Tibagy,89.0,89,02/09/1915,28/09/1616,"Livro de Emplacamento  L1; 99; L2;p.39 L2; p.44; L2; p.55; L13; p.55,56;  L18; p.7,8; L21; p.386 a 389",Cintia,07/01/2019,,2.0,9.0,1915.0,28.0,9.0,1616.0,Initial year is greater than final year.
690,690-256,256.2,Rua Barra do Tibagy,41.0,41,25/07/1908,28/09/1616,"Livro de Emplacamento  L1; 99; L2;p.39 L2; p.44; L2; p.55; L13; p.55,56;  L18; p.7,8; L21; p.386 a 389",Cintia,07/01/2019,,25.0,7.0,1908.0,28.0,9.0,1616.0,Initial year is greater than final year.
690,690-592,591.3,Rua Barra do Tibagy,9.0,9,25/07/1908,28/09/1616,"Livro de Emplacamento  L1; 99; L2;p.39 L2; p.44; L2; p.55; L13; p.55,56;  L18; p.7,8; L21; p.386 a 389",Cintia,07/01/2019,,25.0,7.0,1908.0,28.0,9.0,1616.0,Initial year is greater than final year.
